Titre,Localisation,Entreprise,Salaire,Description
ASSISTANT DATA SCIENTIST H/F - STAGE 3 MOIS,Mérignac (33),BNP Paribas,Indisponible,"ASSISTANT DATA SCIENTIST H/F - STAGE 3 MOIS (NUMÉRO DE L'EMPLOI : PF_20032020_1)

BNP Paribas Personal Finance cherche son futur Assistant Data Scientist H/F !

Zoom sur votre quotidien

Dans le cadre de votre stage vous aurez pour mission de réaliser une veille sur les techniques de rééchantillonnage existantes, vous étudierez et comprendrez la mécanique de ces approches et vous identifierez leurs avantages et inconvénients en lien avec les besoins du Centre de scoring,

Vous aurez pour mission de produire des tests de comparaison de ces techniques et vous essayerez de produire les règles de leur application
Enfin vous documenterez et présenter les travaux menés à l’équipe.

Les missions c’est important mais l’équipe et l’environnement de travail aussi !

Au sein de la Direction des Risques, le Centre de scoring a pour mission de construire et de maintenir les modèles statistiques d’aide à la décision utilisés pour la gestion du risque dans les différentes entités du Groupe BNPP PF.
Très souvent pour la construction de ses modèles, le Centre de scoring doit traiter des bases de données non équilibrées dans lesquelles une des modalités de la variable cible est très largement sous représentée par rapport à l’autre (ex. une proportion de fraudeurs de 1%).

Dans le cadre de l’amélioration de ses pratiques, le Centre de scoring souhaite évaluer si le recours à des méthodes destinées à ré équilibrer la base de données (over- ou undersampling) peut permettre d’obtenir un modèle plus performant. Cette problématique pose également la question du choix de la métrique d’évaluation d’un modèle dans une telle situation.

Pourquoi BNP Paribas Personal Finance ?


BNP Paribas Personal Finance est la filiale du Groupe BNP Paribas, N°1 sur le financement des particuliers en France et en Europe et comprend 20.000 collaborateurs.

Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://www.bnpparibas-pf.com/fr/

Parlons de vous maintenant !

Vous préparez une formation bac+4/5 du type école d'ingénieur ou équivalent universitaire avec une spécialité en Statistique, Mathématiques appliquées ou Data science.

Votre compétence porte à la fois sur les dimensions pratique (mise en œuvre) et théorique (compréhension des concepts) en Machine Learning et vous maitrisez le langage Python.

Rigoureux, vous avez développé une grande capacité d’analyse et d’apprentissage.
Enfin vous êtes à l’aise pour communiquer que se soit à l’oral ou à l’écrit.

Informations complémentaires :

Le stage est d'une durée de 3 mois t basé à Mérignac (33).

Alors n’hésitez plus… Postulez !"
Stage - Data Scientist,Paris (75),Euler Hermes Group,Indisponible,"Euler Hermes helps companies expand their business worldwide by securing their trade receivables. It is the world leader in Trade Credit Insurance, and part of the Allianz Group.

Euler Hermes is revolutionizing the way of delivering Credit Insurance. The company launched its data lab to accelerate the company’s digital transformation and build it into its core strategy.

Our ambition is to settle a Data Driven company organization by creating Regional Data Labs to run innovative, Big Data, Machine Learning initiatives and deliver disruptive applications.

EH France Data Lab is part of the “Digital Acceleration” Team, in charge of various B2B business innovations, digital product management and partnerships. It directly reports to EH France executive committee. It closely works with EH Group Data Lab, which supports and rolls-out all data science initiatives throughout the Group and helps data scientists to develop their machine learning skills.

Focus will be on how to provide quantitative, data driven insights with actionable results that will underline strategic decision across all business areas – for example:

Does machine learning help better identify prospects?
How could open data increase the performance of existing models?
How to better detect fraudulent behaviors?
How could we improve our services with a better understanding of the customer journey?
EH France Data Lab, as a local team of 3 data scientists, will cover the main priorities of the Region with a portfolio of data initiatives in Marketing, Commercial, Operations, Risk and Innovation.

Main tasks:
The Intern Data Scientist for EH France will report to the Lead Data Scientist and will take ownership of existing Marketing machine learning projects, his/her principal missions would be:

#1 – Maintain, monitor & improve models, by being directly in charge of 2 machine learning projects in production:

Research, implement and improve existing marketing models using new approaches and features
Define KPIs and measure impacts on business for a running Churn prediction model
Supervise the production for an existing commercial prospection algorithm into operational processes, measure the results and monitor the performance
#2 –Support regional Data experiments

Data quality assessment
Data exploration
Statistical analysis and machine learning modelling
Generate reports, annotated code, and other projects artifacts to document, archive, and communicate your work and outcomes
Perform statistical analyses and ""deep dives"" into the data, and present and discuss solutions with business partners.
Master’s Degree in a “STEM” major (Science, Technology, Engineering, Mathematics)
Knowledge / experience in implementing R or Python machine learning algorithms
Demonstrated skills at data cleansing, data quality assessment, in the use of applied analytics, descriptive statistics, and predictive analytics
Having the ability to query databases and perform statistical analysis; able to develop or program databases
Rigorous and autonomous
Strong entrepreneurial spirit, able to work in a fast-paced multidisciplinary environment and in close contact with business managers
Interest in innovations and data science evolutions
Strong written and verbal communication skills
Fluent English spoken and written mandatory
Euler Hermes, the world’s leading provider of credit insurance services, helps its customers around the globe to trade wisely and develop their business safely. With 6,000 employees from more than 70 nationalities, in over 50 countries, Euler Hermes offers a complete range of services for the management of B-to-B trade receivables.

Euler Hermes has developed a credit intelligence network to analyze the financial stability of 40+ million businesses across the globe. Euler Hermes, a company of Allianz, is rated AA by Standard & Poor’s.

At Euler Hermes, we are committed to support our employees in every step of their professional journey, provide tailor-made development programs and open gateways to international opportunities. We encourage them to take ownership and accountability, and to dare to make a difference!

For more information visit http://www.eulerhermes.com/"
Stage - Data Scientist H/F,Paris (75),Allianz France,Indisponible,"Si tu aimes coder en Python, versionner ton code avec Git, si tu veux découvrir la méthodologie agile, analyser des millions de lignes avec Spark, et qu’en plus, tu aimes jouer aux jeux de société, n’hésites pas à postuler.

Au sein du département Big Data & IA de l'Unité Data, Client et Communication du groupe Allianz France, vous intégrez une équipe plateau composée de data scientists, de project managers, de data engineers et de data storytellers.

Les principales missions du poste seront de :
#- Manipuler (data validation, data cleaning, feature engineering) des typologies de données variées à la fois en termes de contenu fonctionnel que de source ou encore de format (ex : données issues des bases assurantielles, de google analytics, de l’open-data, de texte, de conversation téléphonique, des logs de navigation, d’image...).
#- Apporter une solution analytique pour répondre aux besoins opérationnels via la création de règles métier, de dashboard, de modèle prédictive ou de segmentation.
#- Produire des scripts industrialisables : description technique et fonctionnelle du code, création du data process,
développement de data quality check et unit tests, alimentation et analyse des logs, session de pair-programming avec un data engineer.
#- Suivre l’efficacité des dispositifs déployés
Les sujets de la direction sont très variés : détection de la fraude, satisfaction client (ex : analyse d’enquête de
satisfaction), digital (ex : mesure de la performance des campagnes digitales), marketing (ex : churn, mutli-équipement), automatisation des process internes (ex : reconnaissance automatique des documents et extraction des informations)

Environnement de travail:
Plateforme Big Data : One FS + Spark
Editeurs : Zeppelin pour l’exploration des données, Jupyter ou Pycharm pour la mise en production

Outils open source : ELK (ElasticSearch / Logstash / Kibana), H20…
Intégration continue avec Git
Outil de data visualisation : Microstrategy, Flask

Environnement anglophone : contacts réguliers avec le datalab d’Allianz SE situé à Munich.

Formation supérieure minimum BAC+5 (école d’ingénieur ou université scientifique)
Maîtrise de Python
Maîtrise de l’anglais
La maîtrise de Pyspark, des commandes Linux, ou git serait un plus

Qualités requises: fort sens du résultat, réactivité, curiosité, passionné, travail en équipe"
Stage - OCR Contextualisée - Data Science,Paris (75),SCOR,Indisponible,"EMEA
Paris France (FR)
|
Stage - OCR Contextualisée - Data Science
Training Contract
Asset Management
About SCOR
SCOR, the 4th largest reinsurer in the world, provides insurance companies with a diversified and innovative range of solutions and services to control and manage risk. Using its experience and expertise, “ The Art & Science of Risk ”, SCOR provides cutting-edge financial solutions, analytics tools and services in all areas related to risk – in Life & Health insurance as well as in P&C insurance. Our specialist teams operate in over 120 countries, developing value added and innovative products and services and making long-term commitments to their clients, namely insurers and large corporations.
SCOR's aim, as an independent global reinsurance company, is to develop its Life and P&C business lines, to provide its clients with a broad range of innovative reinsurance solutions and to pursue an underwriting policy founded on profitability, supported by effective risk management and a prudent investment policy, in order to offer its clients an optimum level of security, to create value for its shareholders, and to contribute to the welfare and resilience of Society by helping to protect insureds against the risks they face.
Dirigé par Denis KESSLER, avec 38 implantations dans le monde et intervenant auprès de plus de 4 000 clients dans le monde entier, SCOR (plus de 2 800 personnes, un chiffre d’affaires annuel de plus de 13 milliards d’euros, une cotation au SBF 120) est le premier réassureur français et le quatrième réassureur mondial.
La mission de SCOR, en tant que compagnie de réassurance indépendante globale, est de développer ses lignes d’activité Vie et Non-Vie, d’offrir à ses clients une large gamme de solutions innovantes de réassurance, de suivre une politique de souscription fondée sur la profitabilité, supportée par une gestion du risque performante et une politique d’investissement prudente, dans l’optique d’offrir à ses clients un niveau de sécurité optimal, de créer de la valeur pour ses actionnaires et de contribuer au bien-être et à la résilience de la société en aidant à la protection des assurés contre les risques auxquels ils sont confrontés.
- Département
L’équipe Data Science est intégrée au sein de la communauté Data Analytics Solution et du département Knowledge. A ce titre, l’équipe supporte les différents projets de data science du monde entier et garantit la réalisation technique des services impliquant des modèles de machine learning ou plus généralement des modules informatiques automatisant certaines actions humaines.
Le rôle de l’équipe est ainsi d’être à la pointe des techniques de predictive modelling et d’assurer l’assimilation des dernières avancés de la recherche dans le but de les appliquer. Les méthodes mises en oeuvre doivent répondre à un besoin métier existant ou probant dans un futur proche. La maitrise des outils mais aussi des théories qu’ils implémentent est ainsi primordiale. L’adéquation avec les attentes des équipes business de SCOR est au coeur des préoccupations de l’équipe Data Science.

- Missions et responsabilités
Lors du stage l’étudiant devra tenter d’apporter des réponses aux différents points suivants :
Automatiser l’extraction d’information provenant de documents potentiellement scannés (méthodes OCR et NER)
Traiter l’information extraite (NLP) et la relier à la classification d’un risque
Prendre du recul quant à la mesure d’erreur potentiellement engendrée par l’algorithme et le critiquer relativement au cadre réglementaire (GDPR, S2)
Restituer les travaux sous forme intelligible (utilisation de Git, documentation du code, rapport technique). Le livrable final sera fait sous forme d’une librairie Python.
Comme le département a un périmètre global (mondial), l’essentiel du travail s’effectue en anglais.
Le poste nécessite des contacts réguliers avec l’équipe de data science et de data engineer.
L’équipe est composée actuellement de 7 data scientists (dont 2 actuaires) et travaille en étroite collaboration avec les équipes actuarielles, IT et de souscription.

Dans le cadre de vos fonctions de data scientist, vous êtes chargé de :
Recueillir les besoins métiers des bureaux locaux (France)
Exploiter (et si besoin préparer) les données de souscription (pièces scannées, etc.)
Mettre en place un modèle de classification des dossiers en utilisation des techniques de machine learning intégrant l’expertise métier
Participer éventuellement aux travaux de publication du département, en apportant vos compétences en statistique et data science

- Profil
Si le stage est avant tout un moment de perfectionnement des acquis académiques, il est nécessaire pour tirer pleinement profit de l’encadrement, de disposer d’une base de connaissances suffisamment solide en mathématiques appliqués et en informatique et d’une volonté d’apprentissage certaine.
Vous maitrisez les fondamentaux du langage Python (notamment la POO)
Une appétence pour les thématiques assurantielles ainsi que pour la recherche est nécessaire
Votre pragmatisme et votre sens de l’organisation vous permettront de structurer vos travaux et de vous assurer que la politique mise en place est objective et documentée
Votre disponibilité et votre esprit d’équipe seront indispensables pour favoriser l’échange et le partage d’information et la recherche de la satisfaction de vos objectifs internes tout en étant capable d’intégrer les contraintes techniques
Vous disposez de très bonnes qualités relationnelles pour vous permettre de travailler avec des personnalités, des cultures et des métiers différents
Vos qualités rédactionnelles vous permettront de participer à la production de publications et articles métier
Une bonne maitrise de l’anglais est nécessaire tant à l’écrit qu’à l’oral
Français et anglais courants.
Please contact your HR team should you have any question."
Data Scientist - Stage F/H,Paris (75),AG2R La Mondiale,Indisponible,"Référence : 2020-23526
Caractéristique du poste
Type de contrat : Stagiaire
Pays / région / département : France, Ile-de-France , PARIS (75)
Ville : PARIS
Votre rôle principal
Rattaché à la direction actuariat produit, nous recherchons un stagiaire orienté Data sciences.
Nous vous proposons de faire évoluer les modèles actuariels classiques en saisissant les opportunités offertes par le big data et les techniques du ML (Machine Learning), tout en intégrant les contraintes réglementaires et éthiques.
Depuis quelques années, le monde de l’assurance connait des mutations importantes :
Digitalisation, big data, algorithmes du ML : présentent une opportunité aux assureurs leur permettant de valoriser les données (dark data), améliorer leur connaissance du risque et mieux répondre aux attentes de l’assuré.
Cette opportunité est étroitement liée à des enjeux importants sur le marché : une concurrence accrue liée aux nouveaux arrivants (insurtechs, GAFA …) et une inflation réglementaire de plus en plus importante liée à l’utilisation éthique des données et des systèmes de l’IA.
Vos responsabilités
Le stagiaire sera amené à challenger les modèles actuariels et proposer des algorithmes innovants pour l'amélioration de la connaissance client (Know Your Customer) en vue de personnaliser l'offre et affiner la tarification des produits prévoyance/santé :
Compréhension des besoins métiers en termes de modélisation du risque actuariel;
Implémentation des modèles de ML;
Mesure de la performance du modèle et interprétation des résultats dans un souci de réponse à la problématique métier identifiée.

Vos compétences et atouts

Vous suivez un cursus de formation orienté DATA Sciences.

Vous avez des connaissances dans les outils suivants :
Méthodes statistiques, SAS base et SQL
Compréhension et connaissance d’algorithmes basiques du ML
Librairies python pour les projets data science (pandas, sickit-learn, keras …)

Dynamisme, rigueur, curiosité, ouverture d’esprit, esprit d’analyse et de synthèse"
STAGE - Data Scientist H/F,Boulogne-Billancourt (92),BVA group,Indisponible,"À propos
Fondée en 1970, BVA Group est une société d’études et de conseil française, experte en sciences comportementales, classée parmi les 20 premières au monde.
Chaque jour, les collaborateurs de BVA aident les marques et les organisations à améliorer l’expérience de leurs clients, collaborateurs ou des citoyens pour générer progrès et croissance équitable.
Les solutions conseil de leur BVA Nudge Unit, plusieurs fois primée, aident consommateurs et collaborateurs à passer de l’intention à l’action.
Au-delà de ses différentes localisations en France, BVA possède également des bureaux à New York, Chicago, Londres, Genève, Hambourg, Francfort, Rome, Milan, Hong Kong, Shanghai et Singapour.
Descriptif du poste
Afin de participer à la réalisation de nos études et de nos projets de R&D, nous recherchons un(e) Stagiaire Data Scientist H/F pour notre équipe Data. Vous aurez l’opportunité de travailler pour des clients de l’univers de la banque-assurance, automobile, télécom-multimédia, tourisme, transport, industrie, du commerce et de la distribution.
Ce que nous pouvons accomplir ensemble ?
En tant que Stagiaire Data Scientist chez BVA, vous serez intégré à notre équipe de Data Scientists. Vous participerez à la bonne réalisation des études en prenant en charge la production d’analyses statistiques et à la mise en place de nouveaux outils ou de nouvelles méthodes.
D’une manière générale, vous serez en charge de :

1. Prendre en main et optimiser des scripts pour la mise en œuvre d’analyses statistiques multivariées (analyses factorielles, segmentations, modélisation, etc.)
2. Accompagner les Data Scientists Séniors dans un projet de recherche et développement visant à découvrir et mettre en place de nouveaux outils ou de nouvelles méthodes sur l’un des thèmes suivants : l’exploitation des données multi sources, data expanding, modélisations complexes, machine learning…
Vous interviendrez sur des problématiques diverses : satisfaction client, rétention/churn, potentiel marché territorialisé, … avec une particularité au niveau de la nature de données : la possibilité permanente de travailler sur l’hybridation des données multi sources (enquêtes, CRM, Open Data, Réseaux Sociaux, …).
Vous évoluerez dans un environnement de spécialistes de la Data et serez entourés d’experts Data Scientist, Data Analyst et Data Engineer.
Profil recherché
Vous êtes la perle rare car …
Vous êtes diplômé(e) d’un Bac +4/+5 en Statistique/ Econométrie, Mathématiques Appliquées ou Data Science.
Vous avez des connaissances en :
Statistical analysis,
Data Mining,
Data-driven decision making,
Machine Learning.
Et en termes de compétences techniques :
Langage de programmation : R et/ou Python.
Notebooks : RStudio et/ou Jupyter
Logiciels statistiques : SAS et/ou SPSS
Data Platform type Azure
On est fait pour vous car …
Nous avons gardé notre esprit start ’up : collaboration, reconnaissance, convivialité et esprit d’initiative font partie de nos valeurs.
Nous avons à cœur d’associer nos collaborateurs à notre développement.
Pour notre déménagement à Clichy en 2020, nous réinventons chaque jour notre manière de travailler. Objectifs : souplesse, agilité, liberté !
Nos soirées sont à l’image de nos collaborateurs : créatives, innovantes et un peu folles.
Nous offrons le petit déjeuner tous les matins, pour bien commencer la journée !
Indemnité de stage :
Entre 900€ et 1100€ bruts, selon le niveau d’études et durée du stage + tickets restaurant (avec la participation de l’employeur) + remboursement 50% titre de transport + 1RTT/mois.
Début du stage : Dès que possible
Durée : 6 mois
Lieu : Boulogne-Billancourt (92) puis Clichy (92) dès l’été 2020.
Informations complémentaires
Type de contrat : Stage
Lieu : Boulogne-Billancourt, France (92100)
Niveau d'études : Bac +4"
Data Analyst H/F,La Défense (92),EY,Indisponible,"EY est numéro 1 du palmarès « Great Place to Work » 2019 des entreprises de plus de 5 000 collaborateurs, et premier cabinet de conseil dans les classements 2019 Universum et LinkedIn Top Companies.
EY, c’est surtout une multitude d’expériences à vivre, de nombreux secteurs à explorer, des rencontres hors du commun… Bienvenue dans notre monde en mouvement perpétuel !
Au sein d’EY Consulting France, nous regroupons une combinaison unique d’expertises sectorielles et de compétences en Stratégie, Performances, Digital et Risques. Nos 1500 consultants couvrent l’intégralité de la chaîne de valeur de nos clients.

Au sein d’EY Consulting, EY Analytics est en charge d’accompagner nos clients sur les problématiques autour de la Data : de la stratégie à la mise en œuvre opérationnelle de projets (Analytics/IA, Business Intelligence…) .

Pour soutenir notre forte croissance, notre équipe cherche à se renforcer de 50 nouveaux talents (Data Engineers, Data Scientists, Data Analysts, Data Strategists, Data Architects).

Venez rejoindre le premier pôle français de compétences en datascience !

EY Analytics en France c’est :
une équipe de plus de 130 consultants data, aux profils très divers, permettant de couvrir l’ensemble des problématiques et de s’enrichir mutuellement
un Lab d'une surface de 600m² dédiée à l'innovation autour de la Data;
le leader mondial du conseil en innovation (rapport Forresters);
plus de 500 missions data driven;
une équipe expérimentée, gage d’excellence pour encadrer les projets et vous faire grandir
des projets d’une grande diversité, auprès des plus grands clients nationaux et internationaux
Pour renforcer celle-ci, EY Analytics recrute un Data Analyst (H/F). Vous rejoindrez une équipe dynamique, enthousiaste et multiculturelle et vous aurez l'occasion d'intervenir sur des projets transformatifs et innovants.

Vos missions
Vous accompagnerez nos clients sur leurs différents besoins de traitement de données, d'analyses et de mise en place de reporting
Concevoir, implémenter et développer des solutions de reporting, d'analyse de données ou de visualisations de données (Power BI, Tableau…)
Préparer les données (contrôle de qualité, de cohérence, transformations…), aider à construire un prototype pour ensuite interpréter les données et analyser les résultats
Rencontrer les parties prenantes de l'entreprise pour recenser les besoins et définir les exigences métiers.
Se synchroniser avec les intervenants techniques pour examiner le code et anticiper les points de difficultés
Votre profil
Formation école d'ingénieur ou université en analyse statistique ou décisionnelle
SQL, R ou Python
Outils de DataViz : Power BI, Tableau, Spotfire , Qlikview, Qliksense
Connaissance d’Azure et des technologies Microsoft un réel plus : Azure SQL Server SSIS, SSAS…
Expertise technique en matière de modèles de données, de développement de conception de base de données, de techniques d'exploration de données et de segmentation
Capacité d'analyse et manipulation de données
Être orienté client et business, sans se focaliser uniquement sur les aspects techniques
Curiosité, bonne culture technologie et un intérêt pour le développement de solutions de traitement de données
Ouverture d'esprit et capacité à collaborer avec de multiples intervenants
Esprit analytique, de synthèse et de rigueur, orienté résultat
Bonne capacité de communication écrite et orale avec les métiers
Entrons ensemble dans l’ère de la révolution digitale et de la transformation des organisations ! La richesse de nos métiers, l’excellence de nos équipes, l’amplitude de nos réseaux, notre capacité à nous remettre en question, nos exigences élevées de qualité, notre éthique professionnelle, sont les fondements de notre réputation, le gage de nos futurs succès et de votre épanouissement professionnel.

Vivez l’expérience EY Consulting, rejoignez-nous !

EY est un employeur qui pratique l'égalité des chances."
Ingénieur Data Scientist Junior F/H,Toulouse (31),CS COMMUNICATION & SYSTEMES,Indisponible,"CS Group recherche un(e)

Data Scientist Junior (H/F)

afin d'accompagner la croissance de son activité dans le département Systèmes d'Information.

Vous réaliserez les missions suivantes :
Développer des outils de traitements de données : data visualisation, data wrangling, statistiques, Machine Learning, …;

Analyser de gros volumes de données de type 'série temporelle', rédiger les rapports d'analyse, et assurer la présentation au client.
Profil recherché Ingénieur de formation ou équivalent universitaire (BAC+5), vous bénéficiez de qualifications dans les domaines Statistiques, Machine Learning et Mathématiques appliqués. De plus, vous êtes compétent en développement logiciel.

Vous disposez des connaissances suivantes:
Langages Python (inlcuant Numpy, Scipy et Scikit-Learn), R, Javascript;

MapReduce et Spark en particulier;

Techniques de tests unitaires et de profilage de code;

Utilisation et configuration des outils IDE tels Eclipses/IntelliJ/PyCharm;

Gestionnaires de faits techniques, forges logicielles et outils de gestion de code source (Git).

La maîtrise de Java et Hadoop Stack serait appréciée.

Vous serez amené à faire de la rédaction et des présentations en anglais.

Bon communiquant, votre capacité d'analyse et de résolution des problèmes sont des atouts essentiels pour réussir dans cette fonction.
Entreprise CS Group en quelques mots ?

CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.

En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s'imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l'Aéronautique et de l'Energie. (www.c-s.fr)

Nous rejoindre c'est :
Bénéficier d'un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible (télétravail…), à dimension humaine et convivial.
Où sommes-nous situés ?

Notre agence se situe à Saint-Martin du Touch - 6 rue Emmanuel Arin - 31300 Toulouse.

Le site Europarc 2 est accessible en transports en commun :
Ligne de Bus L2 - Arrêt Jean Petit.
Ligne C SNCF TER - Arrêt Saint-Martin
Si vous préférez, CS rembourse des indemnités kilométriques vélos !

Intéressé ? Déposez votre CV et additionnons nos talents !"
Alternance - Data Scientist F/H - Rouen,Rouen (76),Matmut,Indisponible,"Intitulé du poste externe
Alternance - Data Scientist F/H - Rouen
Description de la mission
La Matmut ne fait que de l'assurance ? FAUX !

400, c'est le nombre de collaborateurs travaillant au sein de la Direction Informatique de la Matmut. Une aubaine pour toi si tu souhaites nous rejoindre et proposer tes idées !

Ton quotidien ?

Rattaché à la Direction Informatique, tu participe aux missions de l'équipe Data (Décisionnel et DataLab).

En ce sens, tu participes à la construction de solutions informatiques empiriques d'une certaine complexité pour éclairer sur des faisabilités et les moyens les plus adaptés pour les transformer en récurrents.

Tu réalises le développement en SAS, SQL, Python, R. et participes à la conception d'indicateurs business et suivi d'activité.

Tu rédiges et exécutes des tests et contribues à la conception et à la recherche de solutions techniques de collecte, de nettoyage, d'analyse, de visualisation de données, de développements, d'industrialisation de traitements, autour des techniques de BI classique ou du bigdata/machine learning.

Tu rédiges la documentation technique et fonctionnelle, et assure la présentation des travaux réalisés.
Profil
Tu sais que cette offre est faite pour toi si :

Tu maîtrises des outils et méthodes d'analyse et développement (SAS, SQL, Python, R), de l'organisation des structures de données, des tests.

Tes connaissances dans le domaine du BigData sont fortes (acquises ou en cours d'acquisition),

Tu es curieux, rigoureux, force de propositions et doté d'un bon esprit d'équipe

Tes capacités rédactionnelle et de formalisation sont reconnues.

Tu te reconnais ? Postules en ligne en joignant ton CV et une lettre d'accompagnement expliquant en quoi tes expériences font de toi la personne idéale pour nous rejoindre !

On te parle de nous ?

La Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.

Confiante et bienveillante envers ses salariés, elle construit avec eux des parcours professionnels motivants. Convaincu que la diversité des potentiels est une richesse, elle accompagne, forme et fait grandir tous les talents.

Depuis 1961, le Groupe Matmut est complice de vie de ses sociétaires. Profondément humain et fier de son appartenance à la famille mutualiste, il s'adresse à tous - particuliers, professionnels, entreprises, associations – en proposant une gamme complète de produits d'assurance des biens et des personnes et de services financiers et d'épargne.
Contrat
ALTERNANCE
Localisation du poste
Lieu
66, rue de Sotteville - 76100 ROUEN"
ASSISTANT DATA SCIENTIST H/F - STAGE 3 MOIS,Mérignac (33),BNP Paribas,Indisponible,"ASSISTANT DATA SCIENTIST H/F - STAGE 3 MOIS (NUMÉRO DE L'EMPLOI : PF_20032020_1)

BNP Paribas Personal Finance cherche son futur Assistant Data Scientist H/F !

Zoom sur votre quotidien

Dans le cadre de votre stage vous aurez pour mission de réaliser une veille sur les techniques de rééchantillonnage existantes, vous étudierez et comprendrez la mécanique de ces approches et vous identifierez leurs avantages et inconvénients en lien avec les besoins du Centre de scoring,

Vous aurez pour mission de produire des tests de comparaison de ces techniques et vous essayerez de produire les règles de leur application
Enfin vous documenterez et présenter les travaux menés à l’équipe.

Les missions c’est important mais l’équipe et l’environnement de travail aussi !

Au sein de la Direction des Risques, le Centre de scoring a pour mission de construire et de maintenir les modèles statistiques d’aide à la décision utilisés pour la gestion du risque dans les différentes entités du Groupe BNPP PF.
Très souvent pour la construction de ses modèles, le Centre de scoring doit traiter des bases de données non équilibrées dans lesquelles une des modalités de la variable cible est très largement sous représentée par rapport à l’autre (ex. une proportion de fraudeurs de 1%).

Dans le cadre de l’amélioration de ses pratiques, le Centre de scoring souhaite évaluer si le recours à des méthodes destinées à ré équilibrer la base de données (over- ou undersampling) peut permettre d’obtenir un modèle plus performant. Cette problématique pose également la question du choix de la métrique d’évaluation d’un modèle dans une telle situation.

Pourquoi BNP Paribas Personal Finance ?


BNP Paribas Personal Finance est la filiale du Groupe BNP Paribas, N°1 sur le financement des particuliers en France et en Europe et comprend 20.000 collaborateurs.

Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://www.bnpparibas-pf.com/fr/

Parlons de vous maintenant !

Vous préparez une formation bac+4/5 du type école d'ingénieur ou équivalent universitaire avec une spécialité en Statistique, Mathématiques appliquées ou Data science.

Votre compétence porte à la fois sur les dimensions pratique (mise en œuvre) et théorique (compréhension des concepts) en Machine Learning et vous maitrisez le langage Python.

Rigoureux, vous avez développé une grande capacité d’analyse et d’apprentissage.
Enfin vous êtes à l’aise pour communiquer que se soit à l’oral ou à l’écrit.

Informations complémentaires :

Le stage est d'une durée de 3 mois t basé à Mérignac (33).

Alors n’hésitez plus… Postulez !"
DATA SCIENTIST F/H,Le Bouscat (33),Aquitem,Indisponible,"DESCRIPTION DU POSTE
Groupe Aquitem - partenaire de votre succès !
Créé en 1987, le groupe réunit aujourd'hui deux sociétés et 120 personnes sur le même site ayant pour cœur d’expertise la DATA :
Aquitem, spécialiste de la conception, gestion et mise en place opérationnelle de programmes de fidélité pour les grandes enseignes

Aliénor.net, spécialiste web et hébergement à valeur ajoutée sur ses propres infrastructures.

Quelques mots nous caractérisent : #Qualité #Service #Innovation #Data #Technologie.

AQUITEM recherche aujourd'hui un/une Data scientist.
De formation supérieure (BAC+5) en mathématiques/statistiques, vous maîtrisez les concepts et les outils modernes de gestion des bases de données relationnelles. Vous avez déjà participé dans le cadre d'une première expérience ou de stages à la gestion de bases de gros volumes et conçu des algorithmes et des statistiques appliquées au marketing.

Au sein de notre division ZeFid' qui gère des bases de données marketing de gros volumes pour des grandes enseignes, vous intégrerez l'équipe de data scientists (5 personnes) et travaillerez en étroite collaboration avec les services de la société (Direction, Chef de projet Marketing, Chef de Projet technique...)

Vos missions consisteront à :
concevoir et implémenter des modèles statistiques ou des algorithmes de machine learning (classification, scoring, recommandation, etc…)

réaliser des études et des analyses permettant une meilleure connaissance du profil des clients des enseignes dont nous gérons les programmes de fidélisation afin d'optimiser ces derniers

agréger, regrouper et donner du sens aux données pour les mettre à disposition des équipes marketing

accompagner les équipes marketing opérationnelles sur les questions de préconisation de ciblage et d’analyses d’opérations

établir des bilans statistiques et des états de reporting dont vous participerez à l'automatisation

contribuer au développement de notre outil de Datavisulisation MyDataviz'


Pour réussir sur ce poste, vous êtes curieux, rigoureux et méthodique, vous avez une bonne aisance relationnelle et rédactionnelle. Vous maîtrisez les langages SQL et R.

Quelques petits plus que nous apprécierions : connaissance de Python, des bases NoSQL et d'un outil décisionnel type Business Object

Chez nous, vous aurez 21 jours de RTT, des tickets restaurant, une prime de vacances et une prime de fin d’année, une excellente mutuelle et une prévoyance de branche.
De plus, il fait bon travailler chez AQUITEM : Parking facile, accès transports en commun, prime Vélo!

FORMATION EXIGÉE
Bac+5

EXPÉRIENCE EXIGÉE
stages ou première expérience

TYPE DE CONTRAT
CDI

SALAIRE INDICATIF
selon profil

LIEU DE TRAVAIL
Le Bouscat"
